ITEMDATABASE::_ITEM_DATABASE_GET_SHOP_LAYOUT_MENU_INFO_BY_ID, 462
MISC::_IS_STRING_SPACE, 462
TASK::GET_SCRIPT_TASK_STATUS, 462
NETSHOPPING::_0xA3B8D31C13CB4239, 458
ITEMSET::CREATE_ITEMSET, 455
ITEMDATABASE::_ITEM_DATABASE_CREATE_ITEM_COLLECTION, 454
OBJECT::DELETE_OBJECT, 454
DATABINDING::_DATABINDING_ADD_DATA_CONTAINER_FROM_PATH, 452
INVENTORY::_0x9B4E793B1CB6550A, 442
ANIMSCENE::LOAD_ANIM_SCENE, 441
HUD::_DISPLAY_HUD_COMPONENT, 440
ENTITY::GET_OFFSET_FROM_ENTITY_IN_WORLD_COORDS, 437
ANIMSCENE::START_ANIM_SCENE, 435
PED::_0x16F2C8C084AB2092, 435
ITEMSET::GET_INDEXED_ITEM_IN_ITEMSET, 426
ENTITY::IS_ENTITY_IN_VOLUME, 423
PED::DELETE_PED, 423
DATABINDING::_DATABINDING_READ_DATA_HASH_STRING_FROM_PARENT, 419
ITEMDATABASE::_ITEM_DATABASE_FILLOUT_UI_DATA, 419
SCRIPTS::IS_THREAD_ACTIVE, 418
UIFEED::_0x2F901291EF177B02, 418
ANIMSCENE::_DELETE_ANIM_SCENE, 413
ITEMDATABASE::_ITEM_DATABASE_GET_SHOP_LAYOUT_PAGE_INFO_BY_KEY, 411
NETWORK::NETWORK_HAS_CONTROL_OF_NETWORK_ID, 411
NETWORK::_NETWORK_HAS_CONTROL_OF_ANIM_SCENE, 409
HUD::_TEXT_DATABASE_HAS_LOADED, 408
PLAYER::_0x2B12B6FC8B8772AB, 408
NETWORK::NETWORK_GET_PLAYER_FROM_GAMER_HANDLE, 407
DATABINDING::_DATABINDING_INSERT_UI_ITEM_TO_LIST_FROM_CONTEXT_STRING_ALIAS, 401
PED::IS_PED_USING_ANY_SCENARIO, 401
DATAFILE::_DATAFILE_GET_VECTOR, 400
PED::_IS_THIS_MODEL_A_HORSE, 398
MISC::_INT_TO_STRING, 392
PLAYER::IS_PLAYER_DEAD, 390
NETWORK::_0xF2CBC969C4F090C7, 385
ITEMDATABASE::_ITEM_DATABASE_GET_FITS_SLOT_INFO, 384
TASK::_TASK_ITEM_INTERACTION, 382
INVENTORY::_0x9700E8EFC4AB9089, 379
PLAYER::SET_PLAYER_CONTROL, 379
